,Date,Active Cases,Cured / Discharged,Deaths,Migrated,Total Cases,Increase in Active Cases
0,01-03-2020,0,3,0,0,3,0
1,02-03-2020,3,3,0,0,6,3
2,03-03-2020,4,3,0,0,7,1
3,04-03-2020,26,3,0,0,29,22
4,05-03-2020,27,3,0,0,30,1
5,06-03-2020,28,3,0,0,31,1
6,07-03-2020,31,3,0,0,34,3
7,08-03-2020,40,3,0,0,43,9
8,09-03-2020,43,4,0,0,47,4
9,10-03-2020,58,4,0,0,62,15
10,11-03-2020,58,4,0,0,62,0
11,12-03-2020,74,4,1,0,79,17
12,13-03-2020,81,10,1,0,92,13
13,14-03-2020,84,10,2,0,96,4
14,15-03-2020,110,13,2,0,125,29
15,16-03-2020,114,14,2,0,130,5
16,17-03-2020,120,14,3,0,137,7
17,18-03-2020,134,14,3,0,151,14
18,19-03-2020,149,19,4,1,173,22
19,20-03-2020,196,22,4,1,223,50
20,21-03-2020,256,22,4,1,283,60
21,22-03-2020,329,23,7,1,360,77
22,23-03-2020,424,34,9,1,468,108
23,24-03-2020,469,39,10,1,519,51
24,25-03-2020,553,42,10,1,606,87
25,26-03-2020,633,44,16,1,694,88
26,27-03-2020,748,66,19,1,834,140
27,28-03-2020,819,79,19,1,918,84
28,29-03-2020,901,95,27,1,1024,106
29,30-03-2020,1117,101,32,1,1251,227
30,31-03-2020,1238,123,35,1,1397,146
31,01-04-2020,1649,143,41,1,1834,437
32,02-04-2020,1860,155,53,1,2069,235
33,03-04-2020,2322,162,62,1,2547,478
34,04-04-2020,2784,212,75,1,3072,525
35,05-04-2020,3219,274,83,1,3577,505
36,06-04-2020,3851,318,111,1,4281,704
37,07-04-2020,4312,352,124,1,4789,508
38,08-04-2020,4714,410,149,1,5274,485
39,09-04-2020,5218,477,169,1,5865,591
40,10-04-2020,6039,515,206,1,6761,896
41,11-04-2020,6634,652,242,1,7529,768
42,12-04-2020,7409,764,273,1,8447,918
43,13-04-2020,8048,979,324,1,9352,905
44,14-04-2020,9272,1189,353,1,10815,1463
45,15-04-2020,10197,1343,392,1,11933,1118
46,16-04-2020,10824,1514,420,1,12759,826
47,17-04-2020,11616,1766,452,1,13835,1076
48,18-04-2020,12289,2014,488,1,14792,957
49,19-04-2020,13295,2301,519,1,16116,1324
50,20-04-2020,14255,2841,559,1,17656,1540
51,21-04-2020,15122,3259,603,1,18985,1329
52,22-04-2020,15859,3959,652,1,20471,1486
53,23-04-2020,16689,4324,686,1,21700,1229
54,24-04-2020,17915,4813,723,1,23452,1752
55,25-04-2020,18953,5209,779,1,24942,1490
56,26-04-2020,19868,5803,824,1,26496,1554
57,27-04-2020,21132,6361,886,1,28380,1884
58,28-04-2020,22010,7026,937,1,29974,1594
59,29-04-2020,22982,7796,1008,1,31787,1813
60,30-04-2020,24162,8372,1075,1,33610,1823
61,01-05-2020,25148,9064,1152,1,35365,1755
62,02-05-2020,26535,10017,1223,1,37776,2411
63,03-05-2020,28070,10886,1306,1,40263,2487
64,04-05-2020,29685,11761,1389,1,42836,2573
65,05-05-2020,31967,13160,1583,1,46711,3875
66,06-05-2020,33514,14182,1694,1,49391,2680
67,07-05-2020,35902,15266,1783,1,52952,3561
68,08-05-2020,37916,16539,1886,1,56342,3390
69,09-05-2020,39834,17846,1981,1,59662,3320
70,10-05-2020,41472,19357,2109,1,62939,3277
71,11-05-2020,44029,20916,2206,1,67152,4213
72,12-05-2020,46008,22454,2293,1,70756,3604
73,13-05-2020,47480,24385,2415,1,74281,3525
74,14-05-2020,49219,26234,2549,1,78003,3722
75,15-05-2020,51401,27919,2649,1,81970,3967
76,16-05-2020,53035,30152,2752,1,85940,3970
77,17-05-2020,53946,34108,2872,1,90927,4987
78,18-05-2020,56316,36823,3029,1,96169,5242
79,19-05-2020,58802,39173,3163,1,101139,4970
80,20-05-2020,61149,42297,3303,1,106750,5611
81,21-05-2020,63624,45299,3435,1,112359,5609
82,22-05-2020,66330,48533,3583,1,118447,6088
83,23-05-2020,69597,51783,3720,1,125101,6654
84,24-05-2020,73560,54440,3867,1,131868,6767
85,25-05-2020,77103,57720,4021,1,138845,6977
86,26-05-2020,80722,60490,4167,1,145380,6535
87,27-05-2020,83004,64425,4337,1,151767,6387
88,28-05-2020,86110,67691,4531,1,158333,6566
89,29-05-2020,89987,71105,4706,1,165799,7466
90,30-05-2020,86422,82369,4971,1,173763,7964
91,31-05-2020,89995,86983,5164,1,182143,8380
92,01-06-2020,93322,91818,5394,1,190535,8392
93,02-06-2020,97581,95526,5598,1,198706,8171
94,03-06-2020,101497,100302,5815,1,207615,8909
95,04-06-2020,106737,104106,6075,1,216919,9304
96,05-06-2020,110960,109461,6348,1,226770,9851
97,06-06-2020,115942,114072,6642,1,236657,9887
98,07-06-2020,120406,119292,6929,1,246628,9971
99,08-06-2020,124981,124429,7200,1,256611,9983
100,09-06-2020,129813,129313,7471,1,266598,9987
101,10-06-2020,133632,135205,7745,1,276583,9985
102,11-06-2020,137448,141028,8102,1,286579,9996
103,12-06-2020,141842,147194,8498,1,297535,10956
104,13-06-2020,145779,154329,8884,1,308993,11458
105,14-06-2020,149348,162378,9195,1,320922,11929
106,15-06-2020,153106,169797,9520,1,332424,11502
107,16-06-2020,153178,180012,9900,1,343091,10667
108,17-06-2020,155227,186934,11903,1,354065,10974
109,18-06-2020,160384,194324,12237,1,366946,12881
110,19-06-2020,163248,204710,12573,1,380532,13586
111,20-06-2020,168269,213830,12948,1,395048,14516
112,21-06-2020,169451,227755,13254,1,410461,15413
113,22-06-2020,174387,237195,13699,1,425282,14821
114,23-06-2020,178014,248189,14011,1,440215,14933
115,24-06-2020,183022,258684,14476,1,456183,15968
116,25-06-2020,186514,271696,14894,1,473105,16922
117,26-06-2020,189463,285636,15301,1,490401,17296
118,27-06-2020,197387,295880,15685,1,508953,18552
119,28-06-2020,203051,309712,16095,1,528859,19906
120,29-06-2020,210120,321722,16475,1,548318,19459
121,30-06-2020,215125,334821,16893,1,566840,18522
122,01-07-2020,220114,347978,17400,1,585493,18653
123,02-07-2020,226947,359859,17834,1,604641,19148
124,03-07-2020,227439,379891,18213,1,625544,20903
125,04-07-2020,235433,394226,18655,1,648315,22770
126,05-07-2020,244814,409082,19268,1,673166,24850
127,06-07-2020,253287,424432,19693,1,697413,24249
128,07-07-2020,259557,439947,20160,1,719665,22252
129,08-07-2020,264944,456830,20642,1,742417,22752
130,09-07-2020,269789,476377,21129,1,767296,24879
131,10-07-2020,276682,495515,21604,1,793802,26506
132,11-07-2020,283407,515385,22123,1,820916,27114
133,12-07-2020,292258,534620,22674,1,849553,28637
134,13-07-2020,301609,553470,23174,1,878254,28701
135,14-07-2020,311565,571459,23727,1,906752,28498
136,15-07-2020,319840,592031,24309,1,936181,29429
