State,Population
All States,1380004385
Andaman and Nicobar Islands,389774
Andhra Pradesh,91717240
Arunachal Pradesh,1500000
Assam,36024656
Bihar,128458570
Chandigarh,1148000
Chhattisgarh,32200000
Dadar Nagar Haveli,453229
Daman and Diu,320756
Delhi,30291000
Goa,1521875
Gujarat,63872399
Haryana,28875087
Himachal Pradesh,7503415
Jammu and Kashmir,13606320
Jharkhand,38593948
Karnataka,69586993
Kerala,34678294
Ladakh,289000
Madhya Pradesh,85047748
Maharashtra,124862220
Manipur,3437332
Meghalaya,3366710
Mizoram,1239244
Nagaland,2249695
Odisha,47098218
Puducherry,1645604
Punjab,30451858
Rajasthan,81032689
Sikkim,657867
Tamil Nadu,83704074
Telangana,39362732
Tripura,4169794
Uttar Pradesh,231521022
Uttarakhand,11701989
West Bengal,100866993
