State,Active,Cured,Deaths
All States,481595,883697,32078
All States,503910,917971,32832
All States,532480,953001,33566
All States,557632,988734,34332
All States,579947,1024846,35076
All States,608518,1061865,35852
All States,633670,1099153,36607
Andaman and Nicobar Islands,88,180,0
Andaman and Nicobar Islands,91,184,0
Andaman and Nicobar Islands,93,191,0
Andaman and Nicobar Islands,93,195,0
Andaman and Nicobar Islands,95,202,0
Andaman and Nicobar Islands,94,206,0
Andaman and Nicobar Islands,95,213,0
Andhra Pradesh,43464,41392,983
Andhra Pradesh,45256,48063,1033
Andhra Pradesh,47567,53572,1086
Andhra Pradesh,51409,55993,1138
Andhra Pradesh,56726,57471,1193
Andhra Pradesh,60332,64151,1248
Andhra Pradesh,65064,69665,1305
Arunachal Pradesh,662,409,3
Arunachal Pradesh,695,430,3
Arunachal Pradesh,712,446,3
Arunachal Pradesh,688,477,3
Arunachal Pradesh,726,493,3
Arunachal Pradesh,758,522,3
Arunachal Pradesh,780,538,3
Assam,8288,23291,80
Assam,8445,23951,85
Assam,8321,25733,90
Assam,8758,26474,94
Assam,8966,28210,99
Assam,9110,28936,104
Assam,9078,30680,109
Bihar,11734,23667,221
Bihar,12132,25026,223
Bihar,13016,26364,225
Bihar,13524,27717,227
Bihar,14091,29060,229
Bihar,14134,30411,231
Bihar,14331,31756,233
Chandigarh,282,539,13
Chandigarh,283,548,13
Chandigarh,288,552,13
Chandigarh,294,562,14
Chandigarh,295,566,14
Chandigarh,294,575,14
Chandigarh,295,579,15
Chhattisgarh,2263,4705,37
Chhattisgarh,2295,4877,39
Chhattisgarh,2397,5013,41
Chhattisgarh,2469,5180,44
Chhattisgarh,2522,5315,46
Chhattisgarh,2505,5480,48
Chhattisgarh,2536,5615,50
Dadar Nagar Haveli,19,2,0
Dadar Nagar Haveli,19,2,0
Dadar Nagar Haveli,20,2,0
Dadar Nagar Haveli,24,2,0
Dadar Nagar Haveli,28,2,0
Dadar Nagar Haveli,30,3,0
Dadar Nagar Haveli,35,3,0
Daman and Diu,301,532,2
Daman and Diu,306,549,2
Daman and Diu,319,570,2
Daman and Diu,320,587,2
Daman and Diu,323,608,2
Daman and Diu,340,625,2
Daman and Diu,345,645,2
Delhi,13337,112522,3805
Delhi,13768,114285,3842
Delhi,14062,115912,3872
Delhi,13468,117654,3909
Delhi,12925,119289,3939
Delhi,12334,121026,3977
Delhi,12520,122663,4007
Goa,1653,3014,30
Goa,1652,3151,31
Goa,1679,3274,33
Goa,1728,3427,34
Goa,1738,3557,36
Goa,1762,3705,37
Goa,1793,3833,39
Gujarat,12571,39631,2305
Gujarat,12679,40455,2332
Gujarat,12804,41234,2360
Gujarat,12882,42046,2388
Gujarat,12974,42816,2416
Gujarat,13070,43624,2444
Gujarat,13116,44387,2473
Haryana,6442,23570,388
Haryana,6505,24188,394
Haryana,6604,24802,401
Haryana,6652,25424,407
Haryana,6718,26038,414
Haryana,6786,26660,420
Haryana,6821,27274,427
Himachal Pradesh,822,1172,11
Himachal Pradesh,829,1185,11
Himachal Pradesh,828,1211,11
Himachal Pradesh,834,1226,11
Himachal Pradesh,842,1251,11
Himachal Pradesh,885,1266,11
Himachal Pradesh,889,1292,11
Jammu and Kashmir,7319,9593,307
Jammu and Kashmir,7517,9987,318
Jammu and Kashmir,7782,10258,329
Jammu and Kashmir,7759,10619,342
Jammu and Kashmir,7789,10881,353
Jammu and Kashmir,7986,11240,366
Jammu and Kashmir,8197,11500,377
Jharkhand,4349,3411,73
