Date,State,Active,Cured,Deaths,Total
01-03-2020,Kerala,0,3,0,3
02-03-2020,Kerala,0,3,0,3
02-03-2020,Delhi,1,0,0,1
02-03-2020,Telangana,1,0,0,1
02-03-2020,Uttar Pradesh,1,0,0,1
03-03-2020,Kerala,0,3,0,3
03-03-2020,Delhi,1,0,0,1
03-03-2020,Telangana,1,0,0,1
03-03-2020,Rajasthan,1,0,0,1
03-03-2020,Uttar Pradesh,1,0,0,1
04-03-2020,Kerala,0,3,0,3
04-03-2020,Delhi,2,0,0,2
04-03-2020,Telangana,1,0,0,1
04-03-2020,Uttar Pradesh,7,0,0,7
04-03-2020,Rajasthan,2,0,0,2
04-03-2020,Haryana,14,0,0,14
05-03-2020,Kerala,0,3,0,3
05-03-2020,Delhi,2,0,0,2
05-03-2020,Telangana,1,0,0,1
05-03-2020,Uttar Pradesh,8,0,0,8
05-03-2020,Rajasthan,2,0,0,2
05-03-2020,Haryana,14,0,0,14
06-03-2020,Kerala,0,3,0,3
06-03-2020,Delhi,3,0,0,3
06-03-2020,Telangana,1,0,0,1
06-03-2020,Uttar Pradesh,8,0,0,8
06-03-2020,Rajasthan,2,0,0,2
06-03-2020,Haryana,14,0,0,14
07-03-2020,Kerala,0,3,0,3
07-03-2020,Delhi,3,0,0,3
07-03-2020,Telangana,1,0,0,1
07-03-2020,Uttar Pradesh,8,0,0,8
07-03-2020,Rajasthan,2,0,0,2
07-03-2020,Haryana,14,0,0,14
07-03-2020,Ladakh,2,0,0,2
07-03-2020,Tamil Nadu,1,0,0,1
08-03-2020,Kerala,2,3,0,5
08-03-2020,Delhi,4,0,0,4
08-03-2020,Telangana,1,0,0,1
08-03-2020,Uttar Pradesh,8,0,0,8
08-03-2020,Rajasthan,2,0,0,2
08-03-2020,Haryana,14,0,0,14
08-03-2020,Ladakh,2,0,0,2
08-03-2020,Tamil Nadu,1,0,0,1
09-03-2020,Kerala,6,3,0,9
09-03-2020,Delhi,4,0,0,4
09-03-2020,Telangana,1,0,0,1
09-03-2020,Uttar Pradesh,9,0,0,9
09-03-2020,Rajasthan,2,0,0,2
09-03-2020,Haryana,14,0,0,14
09-03-2020,Ladakh,2,0,0,2
09-03-2020,Tamil Nadu,1,0,0,1
09-03-2020,Punjab,1,0,0,1
09-03-2020,Karnataka,1,0,0,1
09-03-2020,Maharashtra,2,0,0,2
10-03-2020,Kerala,6,3,0,9
10-03-2020,Delhi,4,0,0,4
10-03-2020,Telangana,1,0,0,1
10-03-2020,Uttar Pradesh,9,0,0,9
10-03-2020,Rajasthan,2,0,0,2
10-03-2020,Haryana,14,0,0,14
10-03-2020,Ladakh,2,0,0,2
10-03-2020,Tamil Nadu,1,0,0,1
10-03-2020,Jammu and Kashmir,1,0,0,1
10-03-2020,Punjab,1,0,0,1
10-03-2020,Karnataka,1,0,0,1
10-03-2020,Maharashtra,2,0,0,2
11-03-2020,Kerala,6,3,0,9
11-03-2020,Delhi,4,0,0,4
11-03-2020,Telangana,1,0,0,1
11-03-2020,Uttar Pradesh,9,0,0,9
11-03-2020,Rajasthan,2,0,0,2
11-03-2020,Haryana,14,0,0,14
11-03-2020,Ladakh,2,0,0,2
11-03-2020,Tamil Nadu,1,0,0,1
11-03-2020,Jammu and Kashmir,1,0,0,1
11-03-2020,Punjab,1,0,0,1
11-03-2020,Karnataka,1,0,0,1
11-03-2020,Maharashtra,2,0,0,2
12-03-2020,Andhra Pradesh,1,0,0,1
12-03-2020,Delhi,6,0,0,6
12-03-2020,Haryana,14,0,0,14
12-03-2020,Jammu and Kashmir,1,0,0,1
12-03-2020,Karnataka,4,0,0,4
12-03-2020,Kerala,17,3,0,20
12-03-2020,Ladakh,3,0,0,3
12-03-2020,Maharashtra,11,0,0,11
12-03-2020,Punjab,1,0,0,1
12-03-2020,Rajasthan,3,0,0,3
12-03-2020,Tamil Nadu,1,0,0,1
12-03-2020,Telangana,1,0,0,1
12-03-2020,Uttar Pradesh,11,0,0,11
13-03-2020,Andhra Pradesh,1,0,0,1
13-03-2020,Delhi,6,0,0,6
13-03-2020,Haryana,14,0,0,14
13-03-2020,Jammu and Kashmir,1,0,0,1
13-03-2020,Karnataka,6,0,1,7
13-03-2020,Kerala,19,3,0,22
13-03-2020,Ladakh,3,0,0,3
13-03-2020,Maharashtra,14,0,0,14
13-03-2020,Punjab,1,0,0,1
13-03-2020,Rajasthan,3,0,0,3
13-03-2020,Tamil Nadu,1,0,0,1
13-03-2020,Telangana,1,0,0,1
13-03-2020,Uttar Pradesh,11,0,0,11
14-03-2020,Andhra Pradesh,1,0,0,1
14-03-2020,Delhi,7,1,1,9
14-03-2020,Haryana,14,0,0,14
14-03-2020,Jammu and Kashmir,2,0,0,2
14-03-2020,Karnataka,6,0,1,7
14-03-2020,Kerala,19,3,0,22
14-03-2020,Ladakh,3,0,0,3
14-03-2020,Maharashtra,14,0,0,14
14-03-2020,Punjab,1,0,0,1
14-03-2020,Rajasthan,3,1,0,4
14-03-2020,Tamil Nadu,1,0,0,1
14-03-2020,Telangana,1,0,0,1
14-03-2020,Uttar Pradesh,12,4,0,16
15-03-2020,Andhra Pradesh,1,0,0,1
15-03-2020,Delhi,7,2,1,10
15-03-2020,Haryana,14,0,0,14
15-03-2020,Jammu and Kashmir,2,0,0,2
15-03-2020,Karnataka,6,0,1,7
15-03-2020,Kerala,22,3,0,25
15-03-2020,Ladakh,3,0,0,3
15-03-2020,Maharashtra,32,0,0,32
15-03-2020,Punjab,1,0,0,1
15-03-2020,Rajasthan,4,3,0,7
15-03-2020,Tamil Nadu,1,0,0,1
15-03-2020,Telangana,3,1,0,4
15-03-2020,Uttarakhand,1,0,0,1
15-03-2020,Uttar Pradesh,13,4,0,17
16-03-2020,Andhra Pradesh,1,0,0,1
16-03-2020,Delhi,7,2,1,10
16-03-2020,Haryana,14,0,0,14
16-03-2020,Jammu and Kashmir,3,0,0,3
16-03-2020,Karnataka,6,0,1,7
16-03-2020,Kerala,23,3,0,26
16-03-2020,Ladakh,4,0,0,4
16-03-2020,Maharashtra,32,0,0,32
16-03-2020,Odisha,1,0,0,1
16-03-2020,Punjab,1,0,0,1
16-03-2020,Rajasthan,4,3,0,7
16-03-2020,Tamil Nadu,1,0,0,1
16-03-2020,Telangana,3,1,0,4
16-03-2020,Uttarakhand,1,0,0,1
16-03-2020,Uttar Pradesh,13,4,0,17
17-03-2020,Andhra Pradesh,1,0,0,1
17-03-2020,Delhi,5,2,1,8
17-03-2020,Haryana,15,0,0,15
17-03-2020,Jammu and Kashmir,3,0,0,3
17-03-2020,Karnataka,10,0,1,11
17-03-2020,Kerala,23,3,0,26
17-03-2020,Ladakh,6,0,0,6
17-03-2020,Maharashtra,38,0,1,39
17-03-2020,Odisha,1,0,0,1
17-03-2020,Punjab,1,0,0,1
17-03-2020,Rajasthan,1,3,0,4
17-03-2020,Tamil Nadu,1,0,0,1
17-03-2020,Telangana,4,1,0,5
17-03-2020,Uttarakhand,1,0,0,1
17-03-2020,Uttar Pradesh,10,5,0,15
18-03-2020,Andhra Pradesh,1,0,0,1
18-03-2020,Delhi,7,2,1,10
18-03-2020,Haryana,17,0,0,17
18-03-2020,Jammu and Kashmir,3,0,0,3
18-03-2020,Karnataka,10,0,1,11
18-03-2020,Kerala,24,3,0,27
18-03-2020,Ladakh,8,0,0,8
18-03-2020,Maharashtra,41,0,1,42
18-03-2020,Odisha,1,0,0,1
18-03-2020,Puducherry,1,0,0,1
18-03-2020,Punjab,1,0,0,1
18-03-2020,Rajasthan,1,3,0,4
18-03-2020,Tamil Nadu,1,0,0,1
18-03-2020,Telangana,5,1,0,6
18-03-2020,Uttarakhand,1,0,0,1
18-03-2020,Uttar Pradesh,11,5,0,16
18-03-2020,West Bengal,1,0,0,1
19-03-2020,Andhra Pradesh,2,0,0,2
19-03-2020,Chandigarh,1,0,0,1
19-03-2020,Chhattisgarh,1,0,0,1
19-03-2020,Delhi,8,3,1,12
19-03-2020,Haryana,17,0,0,17
19-03-2020,Jammu and Kashmir,4,0,0,4
